20040116	Uptake of IP Telephony Lags in Western Europe	European businesses need to consider using the VoIP services that are now widely available.	z_20040116_01_fp.html	/regionalization/img/content/20040116_fp_homepage.jpg	Tue, 20 Jan 2004 09:34:57 GMT
20040109	Intense Competition in Mobile Sector as Margins Fall	Handset makers must aim at emerging markets and upgrades to increase market share.	z_20040109_01_fp.html	/regionalization/img/content/20040109_fp_homepage.jpg	Fri, 09 Jan 2004 10:12:48 GMT
20031223	SCM Investment to Grow as Economic Outlook Improves	The European SCM market will improve as vendors and users reduce business costs and improve effectiveness in response to customer demand.	z_20031219_01_fp.html	/regionalization/img/content/20031219_fp_homepage.jpg	Mon, 22 Dec 2003 09:37:27 GMT
20031215	Business Transparency Leads ERP Market Recovery	Business transparency will be a key factor for companies choosing an enterprise resource planning strategy.	z_20031212_01_fp.html	/regionalization/img/content/20031212_fp_homepage.jpg	Fri, 12 Dec 2003 16:16:23 GMT
20031205	Using KM to Build Real-Time Capabilities	European Businesses that aspire to become Real-Time Enterprises must expand their view of Knowledge Management.	z_20031205_01_fp.html	/regionalization/img/content/20031205_fp_homepage.jpg	Fri, 05 Dec 2003 10:12:48 GMT
20031121	Open-Source Software Advances in Europe	European organizations, public and private, are among the leaders in adopting open-source software.	z_20031121_01_fp.html	/regionalization/img/content/20031121_fp_homepage.jpg	Fri, 21 Mov 2003 10:12:48 GMT
20031114	IT Market: Growth Expected as Market Consolidates	Growth is expected across software and services sectors as vendors that offer similar products disappear.	z_20031114_01_fp.html	/regionalization/img/content/20031114_fp_homepage.jpg	Fri, 14 Nov 2003 10:12:48 GMT
20031111	Composite Applications Are Key to Business Flexibility	Composite applications are set to become a best practice in modern software development. A composite application is typically an application that provides new functionality by integrating other applications in real-time.	z_20031111_01_fp.html	/regionalization/img/content/20031111_fp_homepage.jpg	Tue, 11 Nov 2003 10:12:48 GMT
20031031	CIOs Face Pitfalls When Outsourcing IT Jobs	The movement of IT-related work from Western Europe, the United States, Australia and other developed countries to vendors and sites in emerging markets is an irreversible megatrend, and the workforce changes that accompany the movement are not fleeting or temporal.	z_20031031_01_fp.html	/regionalization/img/content/20031031_fp_homepage.jpg	Fri, 31 Oct 2003 10:12:48 GMT
20031024	Business Process Fusion	Companies in Europe need to be ready to integrate core business processes to remain competitive in the global marketplace. As well as reducing operational expenses, business process fusion enables an organization to increase how it adapts and responds to market needs.	z_20031024_01_fp.html	/regionalization/img/content/20031024_fp_homepage.jpg	Fri, 24 Oct 2003 10:12:48 GMT
